"filename", "language", "JSON", "Markdown", "JavaScript", "TypeScript", "JSON with Comments", "PostCSS", "TypeScript JSX", "TOML", "MS SQL", "HTML", "Rust", "YAML", "WebAssembly Text Format", "comment", "blank", "total"
"d:\limerence\pi-web\src\app-lifecycle.ts", "TypeScript", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 25, 164
"d:\limerence\pi-web\src\app-message-actions.ts", "TypeScript", 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 52, 263
"d:\limerence\pi-web\src\app-render.ts", "TypeScript", 0, 0, 0, 686, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 96, 817
"d:\limerence\pi-web\src\app-repair.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 12, 91
"d:\limerence\pi-web\src\app-session.ts", "TypeScript", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 97
"d:\limerence\pi-web\src\app-state.ts", "TypeScript", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 40, 273
"d:\limerence\pi-web\src\app-workspace.ts", "TypeScript", 0, 0, 0, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40, 406
"d:\limerence\pi-web\src\app.css", "PostCSS", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\limerence\pi-web\src\components\resizable-divider.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 62
"d:\limerence\pi-web\src\controllers\agent.test.ts", "TypeScript", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31, 167
"d:\limerence\pi-web\src\controllers\agent.ts", "TypeScript", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 20, 133
"d:\limerence\pi-web\src\controllers\character-png.test.ts", "TypeScript", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 151
"d:\limerence\pi-web\src\controllers\character-png.ts", "TypeScript", 0, 0, 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 43, 300
"d:\limerence\pi-web\src\controllers\character.test.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 66
"d:\limerence\pi-web\src\controllers\character.ts", "TypeScript", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 142
"d:\limerence\pi-web\src\controllers\compaction.test.ts", "TypeScript", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 145
"d:\limerence\pi-web\src\controllers\compaction.ts", "TypeScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 110
"d:\limerence\pi-web\src\controllers\context-budget.ts", "TypeScript", 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 39, 261
"d:\limerence\pi-web\src\controllers\free-model-quota.test.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"d:\limerence\pi-web\src\controllers\free-model-quota.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 62
"d:\limerence\pi-web\src\controllers\group-chat.ts", "TypeScript", 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 36, 227
